순번,변수명,분류,역할,권장논리자료형,단위,정의_계산식,기준시점_범위,원천,모델사용,결측조건,현재결측수,현재결측률_pct,현재비결측고유값수,현재최솟값,현재최댓값
1,관리번호,기본 식별·지역·시점,식별·관리,문자열,식별자,공공 사업장 관리번호. 현재 파일의 기본키이며 관리번호 하나에 최초 적격 위기 1행. 대표자·법인 단위 통합 식별자가 아님.,정제 원본의 고정 지역·업종·식별정보. 과거 변동 미복원.,공공 사업자 원본 정제·재집계,현재 X 허용목록에서 제외,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,77736,,
2,구,기본 식별·지역·시점,독립변수 후보 X,문자열,명칭,원본 행정동코드 매핑으로 정규화한 구·군 명칭. 원본 파일 자체는 변경하지 않음.,정제 원본의 고정 지역·업종·식별정보. 과거 변동 미복원.,공공 사업자 원본 정제·재집계,X 후보,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,9,군위군,중구
3,읍면동,기본 식별·지역·시점,독립변수 후보 X,문자열,명칭,원본 행정동 열을 담는 호환 별칭. 현재 파일에서는 법정동이 아니라 행정동을 뜻함.,정제 원본의 고정 지역·업종·식별정보. 과거 변동 미복원.,공공 사업자 원본 정제·재집계,X 후보,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,150,가창면,효목2동
4,업종,기본 식별·지역·시점,독립변수 후보 X,문자열,분류명,공공데이터의 원본 업종 분류. 현재 코호트에 12개 업종이 존재.,정제 원본의 고정 지역·업종·식별정보. 과거 변동 미복원.,공공 사업자 원본 정제·재집계,X 후보,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,12,동물_동물미용업,식품_휴게음식점
5,기준분기,기본 식별·지역·시점,식별·관리,문자열,YYYYQn,영업 중인 사업자가 맞은 최초 적격 시장 위기 진입분기. YYYYQn 형식.,t0 또는 기준분기.,위기 기준일의 달력 연산,현재 X 허용목록에서 제외,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,40,2016Q1,2025Q4
6,t0,기본 식별·지역·시점,식별·관리,날짜,YYYY-MM-DD,기준분기의 마지막 날짜. 모든 X의 기준일 및 12·18·24개월 Y의 공통 시작점.,t0 또는 기준분기.,위기 기준일의 달력 연산,현재 X 허용목록에서 제외,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,40,2016-03-31,2025-12-31
7,업력_일수,사업자 특성,독립변수 후보 X,정수,일,t0 - 인허가일의 경과 일수. 인허가일을 영업 시작일의 대리값으로 사용.,t0 또는 기준분기.,공공 사업자 원본 정제·재집계,X 후보,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,10824,0.0,22317.0
8,매출액,합성 매출 환경,독립변수 후보 X,숫자(원 단위 정수값),원,t0 분기의 행정동×업종 합성 총매출 S_t. 같은 시장의 여러 사업자에게 같은 값이 연결되며 점포별 매출이 아님.,t0 분기까지의 시장 매출. 4q·전년/직전 분기 범위는 변수 정의 참조.,합성 매출 파생,X 후보,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,2923,49628507.0,1171833778.0
9,이용건수,합성 매출 환경,독립변수 후보 X,정수,건,t0 분기의 행정동×업종 합성 거래건수. 합성 매출과 가정한 객단가로 생성한 값.,t0 분기까지의 시장 매출. 4q·전년/직전 분기 범위는 변수 정의 참조.,합성 매출 파생,X 후보,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,2694,1599.0,73460.0
10,sales_yoy,합성 매출 환경,독립변수 후보 X,실수,비율(소수),S_t / S_(t-4) - 1. 정확히 전년 동분기 매출과 비교.,t0 분기까지의 시장 매출. 4q·전년/직전 분기 범위는 변수 정의 참조.,합성 매출 파생,X 후보,현재/전년 동분기 매출 결측 또는 전년 동분기 매출=0이면 NA.,0,0.0,2923,-0.5869229759635894,-0.20012162199371608
11,peer_yoy,합성 매출 환경,독립변수 후보 X,실수,비율(소수),같은 업종에서 t와 t-4 모두 관측된 시장의 매출 합계(t) / 합계(t-4) - 1. 자기 시장 포함; 시장별 성장률 단순평균이 아님.,t0 분기까지의 시장 매출. 4q·전년/직전 분기 범위는 변수 정의 참조.,합성 매출 파생,X 후보,비교 가능한 업종 매출 쌍이 없거나 전년 합계=0이면 NA.,0,0.0,444,-0.14167253365578525,0.15891535774309773
12,peer_gap,합성 매출 환경,독립변수 후보 X,실수,성장률 차이(소수; ×100하면 %p),sales_yoy - peer_yoy. -0.10은 동일 업종 합계 성장률보다 10%p 낮음을 뜻함.,t0 분기까지의 시장 매출. 4q·전년/직전 분기 범위는 변수 정의 참조.,합성 매출 파생,X 후보,sales_yoy 또는 peer_yoy를 계산할 수 없으면 NA.,0,0.0,2923,-0.6112750351085734,-0.10018570417135364
13,crisis_flag,기본 식별·지역·시점,식별·관리,정수,0/1,매출 YoY ≤ -0.20 AND PeerGap ≤ -0.10이면 1. 대상자 선정 조건이며 Y가 아님. 현재 전 행 1.,t0 또는 기준분기.,합성 매출 파생,현재 X 허용목록에서 제외,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,1,1.0,1.0
14,episode_start,기본 식별·지역·시점,식별·관리,정수,0/1,시장 위기 구간의 진입/확정 분기이면 1. 기본 episode-start 코호트이므로 현재 전 행 1.,t0 또는 기준분기.,합성 매출 파생,현재 X 허용목록에서 제외,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,1,1.0,1.0
15,행정동코드,기본 식별·지역·시점,식별·관리,문자열,10자리 코드,행정동 매핑 코드. 원본의 .0 접미사를 제거한 10자리 문자열. 현재 X 허용목록에는 미포함.,정제 원본의 고정 지역·업종·식별정보. 과거 변동 미복원.,공공 사업자 원본 정제·재집계,현재 X 허용목록에서 제외,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,150,2711051700,2772037000
16,업력_연수,사업자 특성,독립변수 후보 X,실수,연(연환산),업력_일수 / 365.25. 만 나이처럼 완료된 연수로 내림하지 않음.,t0 또는 기준분기.,공공 사업자 원본 정제·재집계,X 후보,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,10824,0.0,61.100616016427104
17,업력_개월수,사업자 특성,독립변수 후보 X,실수,개월(연환산),업력_일수 / 365.25 × 12. 달력상 완료된 개월수가 아니라 연환산 개월수.,t0 또는 기준분기.,공공 사업자 원본 정제·재집계,X 후보,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,10824,0.0,733.2073921971253
18,최근1년_신규여부,사업자 특성,독립변수 후보 X,정수,0/1,"t0의 4분기 전 분기말 < 인허가일 ≤ t0이면 1, 아니면 0. 시작 경계 당일은 0.",t0 또는 기준분기.,공공 사업자 원본 정제·재집계,X 후보,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,2,0.0,1.0
19,최근3년_신규여부,사업자 특성,독립변수 후보 X,정수,0/1,"t0의 12분기 전 분기말 < 인허가일 ≤ t0이면 1, 아니면 0.",t0 또는 기준분기.,공공 사업자 원본 정제·재집계,X 후보,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,2,0.0,1.0
20,quarter_of_year,사업자 특성,독립변수 후보 X,정수,1~4,t0의 달력 분기 번호 1~4. 필요 시 범주형 또는 주기형으로 취급.,t0 또는 기준분기.,위기 기준일의 달력 연산,X 후보,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,4,1.0,4.0
21,구_전체사업장수_lag1q,과거 상권·경쟁,독립변수 후보 X,정수,사업자 수(개),s에 영업 중인 같은 구의 사업자 수. 코호트만이 아닌 정제 원본 전체의 확보 업종 범위.,"s=t0 직전 분기말. 4q 변수는 (b,s], b=s의 4분기 전 분기말.",공공 사업자 원본 정제·재집계,X 후보,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,337,590.0,12790.0
22,구_동일업종수_lag1q,과거 상권·경쟁,독립변수 후보 X,정수,사업자 수(개),s에 영업 중인 같은 구×업종의 사업자 수.,"s=t0 직전 분기말. 4q 변수는 (b,s], b=s의 4분기 전 분기말.",공공 사업자 원본 정제·재집계,X 후보,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,958,0.0,6428.0
23,동_전체사업장수_lag1q,과거 상권·경쟁,독립변수 후보 X,정수,사업자 수(개),s에 영업 중인 같은 구×행정동의 전체 확보 업종 사업자 수.,"s=t0 직전 분기말. 4q 변수는 (b,s], b=s의 4분기 전 분기말.",공공 사업자 원본 정제·재집계,X 후보,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,788,21.0,1527.0
